StudentIndex,Name,YearOfStudy,CourseID1,CourseTitle1,BM25Score1,CourseID2,CourseTitle2,BM25Score2,CourseID3,CourseTitle3,BM25Score3,CourseID4,CourseTitle4,BM25Score4,CourseID5,CourseTitle5,BM25Score5
249,Student 250,Freshman,C LIT   197H ,SENIOR HONORS SEM,50.17,PSTAT   190  ,ULA TRAINING,49.9324,SOC     152B ,TOPICS IN SEXUALITY,44.0411,MUS A   249  ,PERCUSSION ENS,43.706,SOC     232  ,MARX SEMINAR,42.6552
250,Student 251,Sophomore,ECE     146A ,DIG COMM FUND,45.7696,RENST   199  ,INDEPENDENT STUDIES,34.5948,AS AM   181  ,DESIGN FOR EQUITY,34.5655,CMPSC   502  ,TEACHING COMPTR SCI,34.2449,ARTHI   192D ,UCSB INTERNSHIP,34.0062
251,Student 252,Graduate,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,LING    131  ,SOCIOCULT LING,36.2316,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411,MATRL   207  ,MECH OF MATERIALS,34.6411,MATRL   200S ,INTRO STRUC & PHASE,34.6411
252,Student 253,Senior,C LIT   196H ,HONORS RESEARCH,60.2649,C LIT   197  ,JR/SR SEMINAR,58.8297,C LIT   197H ,SENIOR HONORS SEM,57.2067,C LIT   191  ,FANTASY/FANTASTIC,50.5696,MATRL   599  ,PH D DISS PREP,47.256
253,Student 254,Graduate,MATRL   215A ,SEMICOND DEVICE,49.2222,ECE     153A ,HRDW/SFTW INTERFACE,39.3778,MATRL   598  ,MS THESIS RSCH-PREP,38.6893,ED      360F ,ELD/SDAIE (MST),38.4654,ECON    204A ,MACROECON THEORY,36.5311
254,Student 255,Freshman,AS AM   181  ,DESIGN FOR EQUITY,43.7161,PHYS    142L ,COND MATTER LAB,38.1252,CMPSC     5B ,INTRO DATA SCI 2,37.0617,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,CMPSC   111  ,INT COMPUTAT SCI,30.5494
255,Student 256,Sophomore,SOC     185M ,MARXIST&CRIT THEORY,46.2499,FR      599  ,DISS PREPARATION,38.5157,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,FAMST   106A ,CREW PRODUCTION ONE,36.0866,PHIL    252G ,PLATO,34.9731
256,Student 257,Sophomore,ARTHI     6F ,SUR ARCH & PLAN,46.7491,ART     594  ,SP STUDIES/ST ART,44.0455,ARTHI   192D ,UCSB INTERNSHIP,42.2994,ARTHI   265  ,SEM ARCH HIST URBAN,40.9473,ARTHI   113B ,17C ART IN ITALY I,39.9087
257,Student 258,Junior,ME      154  ,STRUCTURES,46.0208,MAT     596  ,DIRECTED RESEARCH,43.2842,INT      86VC,PORTR & SELF IN AI,42.8569,ME      157  ,INTRO MULTIPHYS SIM,42.6236,EARTH   597  ,INDIV STD MA & PHD,41.7077
258,Student 259,Senior,ECE     146A ,DIG COMM FUND,45.7696,FR      599  ,DISS PREPARATION,33.8289,PHYS      6AL,INTRO EXPER PHYSICS,32.7769,AS AM   181  ,DESIGN FOR EQUITY,31.614,MUS A   244  ,CHAMBER MUS ENS,31.4198
259,Student 260,Freshman,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHYS     20AL,EXPERIMENTAL PHYS,50.676,PHIL    599  ,PH D DISS PREP,49.1309,CMPSC   502  ,TEACHING COMPTR SCI,48.7886,PHYS    228  ,ATOMIC & MOLEC PHYS,48.5904
260,Student 261,Senior,FAMST   195I ,INTERNSHIP,35.2349,PORT    199  ,INDEP PORT STUDIES,32.9451,PHYS      6AL,INTRO EXPER PHYSICS,32.7769,CMPSC   293B ,SPEC TOPICS CS SYS,29.4055,ME      154  ,STRUCTURES,27.6125
261,Student 262,Sophomore,C LIT   197  ,JR/SR SEMINAR,47.5801,CMPSC   111  ,INT COMPUTAT SCI,45.8241,ECE     130A ,SIGNAL ANALYSIS,45.4298,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,C LIT   596TS,TS DIR READ & RES,42.4439
262,Student 263,Senior,PHIL      3  ,CRITICAL THINKING,38.8979,MUS A   147S ,JAZZ ENSEMBLE,35.6901,PHIL    151  ,PRE-SOCRATICS,33.6233,PHIL    128  ,FEMINIST PHILOSOPHY,33.2659,PHIL    183  ,BEGIN MODERN LOGIC,33.1684
263,Student 264,Freshman,ECE     146A ,DIG COMM FUND,54.536,FR      599  ,DISS PREPARATION,38.7733,CMPSC   110  ,INTRO RESEARCH CS,37.9177,CMPSC    24  ,PROBLEM SOLVING II,37.9177,ME       11  ,INTRO CONCEPTS ME,34.9781
264,Student 265,Graduate,C LIT   599  ,PH D DIS RE & PREP,60.1022,SOC     152B ,TOPICS IN SEXUALITY,53.997,MATRL   598  ,MS THESIS RSCH-PREP,51.3084,ECE     153A ,HRDW/SFTW INTERFACE,49.9309,MATRL   215A ,SEMICOND DEVICE,49.2222
265,Student 266,Senior,GREEK   598  ,MA RESEARCH & PREP,53.8036,ARTHI   192D ,UCSB INTERNSHIP,51.1481,ANTH    206GW,CUR PROBS IN ARCH,47.2857,ARTHI   265  ,SEM ARCH HIST URBAN,46.6455,ART     594  ,SP STUDIES/ST ART,45.8836
266,Student 267,Graduate,C LIT   197  ,JR/SR SEMINAR,54.1862,C LIT   196H ,HONORS RESEARCH,50.1998,C LIT   197H ,SENIOR HONORS SEM,48.984,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199
267,Student 268,Graduate,PHYS     21  ,GEN PHYS,39.6952,ARTHI     6F ,SUR ARCH & PLAN,37.3858,RENST   199  ,INDEPENDENT STUDIES,34.5948,AS AM   181  ,DESIGN FOR EQUITY,34.5655,CMPSC   502  ,TEACHING COMPTR SCI,34.2449
268,Student 269,Freshman,C LIT   599  ,PH D DIS RE & PREP,44.2034,IQB     290CE,C. ELEG DEVELOP,42.7616,MUS A    70N ,MIDDLE EAST CHORUS,34.4685,MUS A    38P ,OPERA PRODUCTION,34.2263,AS AM   181  ,DESIGN FOR EQUITY,29.748
269,Student 270,Junior,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,SOC     185M ,MARXIST&CRIT THEORY,39.2094,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749
270,Student 271,Graduate,ARTHI   192D ,UCSB INTERNSHIP,44.1538,LING    193  ,CAPSTONE SEM,40.7399,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736
271,Student 272,Sophomore,PHYS    142L ,COND MATTER LAB,42.4746,CMPSC   502  ,TEACHING COMPTR SCI,39.0928,GLOBL   199  ,INDEPENDENT STUDIES,36.9494,AS AM   181  ,DESIGN FOR EQUITY,35.4985,PHYS     20AL,EXPERIMENTAL PHYS,33.4419
272,Student 273,Senior,PHIL    252G ,PLATO,37.3243,MUS A   147S ,JAZZ ENSEMBLE,35.6901,ENGL    115  ,MEDIEVAL LITERATURE,33.9973,PHIL    151  ,PRE-SOCRATICS,33.6233,PHIL    128  ,FEMINIST PHILOSOPHY,33.2659
273,Student 274,Senior,SOC     185M ,MARXIST&CRIT THEORY,46.2499,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,MATRL   200S ,INTRO STRUC & PHASE,34.6411,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411,MATRL   207  ,MECH OF MATERIALS,34.6411
274,Student 275,Junior,FR      104C ,ADV FRENCH GRAMMAR,46.0386,FAMST   250  ,CULTURAL THEORY,41.4718,EACS      5  ,INTRO TO BUDDHISM,39.1042,C LIT   196H ,HONORS RESEARCH,37.229,DANCE   190  ,UCSB DANCE COMPANY,36.4808
275,Student 276,Graduate,MUS A   147S ,JAZZ ENSEMBLE,59.4835,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432,PHIL    183  ,BEGIN MODERN LOGIC,55.2807,MUS A   270M ,MIDDLE EAST ENS.,54.8601
276,Student 277,Sophomore,PSY     118L ,ATTENTION LAB,27.6608,ME      154  ,STRUCTURES,27.6125,MUS A   252  ,VIOLIN ENSEMBLE,27.4278,PSY       1  ,INTRO TO PSYCH,27.0791,MATH    197B ,SENIOR THESIS,26.7214
277,Student 278,Graduate,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   181  ,INTRO COMP VISION,42.0864,CMPSC   180  ,COMPUTER GRAPHICS,42.0864,CMPSC   184  ,MOBILE APP DEV,42.0864
278,Student 279,Graduate,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,SOC     185C ,CULTURAL THEORY,38.3056,MATH      4B ,DIFF EQUATIONS,36.9968
279,Student 280,Graduate,ECE     146A ,DIG COMM FUND,54.536,CMPSC   110  ,INTRO RESEARCH CS,37.9177,CMPSC    24  ,PROBLEM SOLVING II,37.9177,ME       11  ,INTRO CONCEPTS ME,34.9781,C LIT   199  ,INDEPENDENT STUDIES,34.1067
280,Student 281,Freshman,C LIT   197H ,SENIOR HONORS SEM,33.9186,FR      599  ,DISS PREPARATION,33.8289,FAMST   106A ,CREW PRODUCTION ONE,31.8439,C LIT   197  ,JR/SR SEMINAR,29.8408,HIST      5  ,HISTORY OF PRESENT,28.6869
281,Student 282,Graduate,ECON    196A ,SEN HONORS SEM,40.6493,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,MATRL   207  ,MECH OF MATERIALS,34.6411,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411,MATRL   200S ,INTRO STRUC & PHASE,34.6411
282,Student 283,Graduate,ECON    196A ,SEN HONORS SEM,32.1754,PSTAT   223A ,STOCHASTIC CALCULUS,32.1336,CHEM    242A ,CHEM ASPECT BIO SYS,32.0127,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,PHIL    599  ,PH D DISS PREP,29.4785
283,Student 284,Sophomore,C LIT   599  ,PH D DIS RE & PREP,58.7608,ARTHI     6F ,SUR ARCH & PLAN,46.7491,ART     594  ,SP STUDIES/ST ART,44.0455,IQB     290CE,C. ELEG DEVELOP,42.7616,ARTHI   192D ,UCSB INTERNSHIP,42.2994
284,Student 285,Sophomore,ECE     153A ,HRDW/SFTW INTERFACE,39.3778,MATRL   598  ,MS THESIS RSCH-PREP,38.6893,ED      360F ,ELD/SDAIE (MST),38.4654,ART     594  ,SP STUDIES/ST ART,37.2281,ECON    136A ,INTERMED ACCOUNTING,34.6526
285,Student 286,Senior,FAMST   106A ,CREW PRODUCTION ONE,39.7833,FR      599  ,DISS PREPARATION,38.5157,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A   249  ,PERCUSSION ENS,34.2094,MUS A   170Z ,ETHNO PERF ENSEMBLE,34.1928
286,Student 287,Graduate,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,INT     594NP,NAT AM & INDIG ST,33.9285,PHYS     20AL,EXPERIMENTAL PHYS,33.4419,SOC     185M ,MARXIST&CRIT THEORY,32.6173,PHYS    119A ,THERMO & STAT PHYS,32.4273
287,Student 288,Graduate,ECE     146A ,DIG COMM FUND,45.7696,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858,ARTHI   192D ,UCSB INTERNSHIP,34.0062,FR      599  ,DISS PREPARATION,33.8289
288,Student 289,Graduate,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   181  ,INTRO COMP VISION,42.0864,CMPSC   180  ,COMPUTER GRAPHICS,42.0864,CMPSC   184  ,MOBILE APP DEV,42.0864
289,Student 290,Junior,MUS A   147S ,JAZZ ENSEMBLE,35.6901,MUS A   249  ,PERCUSSION ENS,34.2094,MUS A   170Z ,ETHNO PERF ENSEMBLE,34.1928,C LIT   197H ,SENIOR HONORS SEM,33.9186,FR      599  ,DISS PREPARATION,33.8289
290,Student 291,Sophomore,MUS A   147S ,JAZZ ENSEMBLE,59.4835,MUS A   270I ,MUS OF INDIA: SITAR,59.3655,MUS A   270Z ,ETHNO PERF ENSEMBLE,58.3128,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432
291,Student 292,Senior,PHYS     21  ,GEN PHYS,60.5077,PHIL    501  ,T A TRAINING,54.5698,PHYS      6AL,INTRO EXPER PHYSICS,52.8927,MATRL   598  ,MS THESIS RSCH-PREP,51.3084,PHYS    145L ,EXP RES IN ASTROPHY,51.0255
292,Student 293,Sophomore,GREEK   598  ,MA RESEARCH & PREP,38.3745,RENST   199  ,INDEPENDENT STUDIES,34.5948,ARTHI   192D ,UCSB INTERNSHIP,34.0062,GLOBL   197E ,SPECIAL TOPICS,33.886,ENV S   199  ,INDEPENDENT STUDIES,32.8772
293,Student 294,Sophomore,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,LING    131  ,SOCIOCULT LING,36.2316,MATRL   207  ,MECH OF MATERIALS,34.6411,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411,MATRL   200S ,INTRO STRUC & PHASE,34.6411
294,Student 295,Junior,ARTHI     6F ,SUR ARCH & PLAN,46.7491,FAMST   106A ,CREW PRODUCTION ONE,44.2397,ART     594  ,SP STUDIES/ST ART,44.0455,ARTHI   192D ,UCSB INTERNSHIP,42.2994,ARTHI   265  ,SEM ARCH HIST URBAN,40.9473
295,Student 296,Senior,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,PHYS    115C ,QUANTUM MECHANICS,37.2285,AS AM   181  ,DESIGN FOR EQUITY,37.0034,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,PHIL    599  ,PH D DISS PREP,29.4785
296,Student 297,Junior,PHYS    115C ,QUANTUM MECHANICS,51.0356,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHYS     20AL,EXPERIMENTAL PHYS,50.676,PHIL    599  ,PH D DISS PREP,49.1309,CMPSC   502  ,TEACHING COMPTR SCI,48.7886
297,Student 298,Graduate,C LIT   197  ,JR/SR SEMINAR,54.1862,C LIT   196H ,HONORS RESEARCH,50.1998,C LIT   197H ,SENIOR HONORS SEM,48.984,FR      104C ,ADV FRENCH GRAMMAR,46.0386,CMPSC   111  ,INT COMPUTAT SCI,45.8241
298,Student 299,Senior,ARTHI   192D ,UCSB INTERNSHIP,59.4414,ART     594  ,SP STUDIES/ST ART,57.6803,ARTHI   265  ,SEM ARCH HIST URBAN,55.9026,ARTHI   136O ,GREEN ARCHITECTURE,53.1294,ARTHI   595  ,GROUP STUDIES,52.8324
299,Student 300,Senior,MATRL   599  ,PH D DISS PREP,47.256,MATH      3B ,CALC WITH APPLI 2,35.521,MATH    202A ,COMPLEX ANALYSIS,35.521,BL ST   199RA,INDEP RESEARCH ASST,33.9,PHYS      6AL,INTRO EXPER PHYSICS,32.7769
300,Student 301,Senior,C LIT   197  ,JR/SR SEMINAR,52.2236,C LIT   197H ,SENIOR HONORS SEM,50.4515,C LIT   196H ,HONORS RESEARCH,48.9776,CMPSC   111  ,INT COMPUTAT SCI,45.8241,SOC     185M ,MARXIST&CRIT THEORY,43.2136
301,Student 302,Graduate,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,C LIT   191  ,FANTASY/FANTASTIC,40.9043,PHYS      6AL,INTRO EXPER PHYSICS,39.4821
302,Student 303,Senior,C LIT   196H ,HONORS RESEARCH,47.2941,C LIT   191  ,FANTASY/FANTASTIC,40.9043,C LIT   194I ,INTERNSHIP,36.7032,C LIT   595  ,DOCTORAL COLLOQUIUM,36.2737,EEMB    183  ,TEACHING ASSISTANCE,34.1946
303,Student 304,Graduate,LING    131  ,SOCIOCULT LING,36.1248,MUS A   147S ,JAZZ ENSEMBLE,35.6901,PHIL    252G ,PLATO,34.9731,PHIL    151  ,PRE-SOCRATICS,33.6233,PHIL    128  ,FEMINIST PHILOSOPHY,33.2659
304,Student 305,Graduate,C LIT   197H ,SENIOR HONORS SEM,49.444,C LIT   197  ,JR/SR SEMINAR,49.1667,C LIT   196H ,HONORS RESEARCH,47.2941,SOC     185M ,MARXIST&CRIT THEORY,46.0005,C LIT   191  ,FANTASY/FANTASTIC,40.9043
305,Student 306,Junior,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   200S ,INTRO STRUC & PHASE,40.736,SOC     185M ,MARXIST&CRIT THEORY,39.2094,FR      599  ,DISS PREPARATION,38.5157
306,Student 307,Graduate,C LIT   196H ,HONORS RESEARCH,59.9408,CMPSC   111  ,INT COMPUTAT SCI,58.7347,C LIT   197  ,JR/SR SEMINAR,58.64,C LIT   197H ,SENIOR HONORS SEM,57.0127,CMPSC    40  ,FOUNDATION COMP SCI,54.4995
307,Student 308,Freshman,PHIL    183  ,BEGIN MODERN LOGIC,46.5901,ECE     153A ,HRDW/SFTW INTERFACE,39.3778,MATRL   598  ,MS THESIS RSCH-PREP,38.6893,ED      360F ,ELD/SDAIE (MST),38.4654,MATRL   215A ,SEMICOND DEVICE,38.2028
308,Student 309,Freshman,SOC     185M ,MARXIST&CRIT THEORY,46.0005,C LIT   197H ,SENIOR HONORS SEM,42.6888,C LIT   197  ,JR/SR SEMINAR,42.5606,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736
309,Student 310,Junior,MARSC   595  ,SEM MARINE SCIENCE,45.8435,LING    297  ,GRADUATE STUDIES,45.8435,INT      86VC,PORTR & SELF IN AI,45.096,FR      599  ,DISS PREPARATION,36.9036,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749
310,Student 311,Junior,MUS A   147S ,JAZZ ENSEMBLE,59.4835,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432,PHIL    183  ,BEGIN MODERN LOGIC,55.2807,PHIL    156  ,HELLENISTIC PHIL,54.8601
311,Student 312,Graduate,FR      104C ,ADV FRENCH GRAMMAR,46.0386,FAMST   250  ,CULTURAL THEORY,41.4718,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736
312,Student 313,Sophomore,EEMB    144L ,MARINE MICRO LAB,38.2453,ECON    118H ,ACCTG ANAL HONORS,34.3669,C LIT   197H ,SENIOR HONORS SEM,33.9186,PHYS      7B ,BASIC PHYSICS,33.4102,ANTH    125  ,ANTHRO OF GENDER,33.1517
313,Student 314,Freshman,ARTHI   127A ,AFRICAN ART-I,31.161,PHYS    145L ,EXP RES IN ASTROPHY,30.6153,PHIL    599  ,PH D DISS PREP,29.4785,CMPSC   502  ,TEACHING COMPTR SCI,29.2731,PHYS    228  ,ATOMIC & MOLEC PHYS,29.1543
314,Student 315,Graduate,SOC     185C ,CULTURAL THEORY,50.7513,SOC     152B ,TOPICS IN SEXUALITY,44.0411,SOC     232  ,MARX SEMINAR,42.6552,SOC     290A ,PROFESS DEVLPMT SEM,41.041,MATRL   207  ,MECH OF MATERIALS,40.736
315,Student 316,Junior,PHYS     21  ,GEN PHYS,39.6952,ARTHI     6F ,SUR ARCH & PLAN,37.3858,CMPSC   502  ,TEACHING COMPTR SCI,34.2449,ARTHI   192D ,UCSB INTERNSHIP,34.0062,C LIT   197H ,SENIOR HONORS SEM,33.9186
316,Student 317,Sophomore,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,C LIT   197H ,SENIOR HONORS SEM,33.9186,FR      599  ,DISS PREPARATION,33.8289,PHYS     20AL,EXPERIMENTAL PHYS,33.4419,SOC     185M ,MARXIST&CRIT THEORY,33.027
317,Student 318,Graduate,PHYS    143L ,PARTICLE PHYS LAB,63.0872,PHYS      6AL,INTRO EXPER PHYSICS,62.1656,CMPSC   502  ,TEACHING COMPTR SCI,58.6082,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHYS      7L ,PHYSICS LAB,49.5401
318,Student 319,Graduate,GREEK   598  ,MA RESEARCH & PREP,38.3745,RENST   199  ,INDEPENDENT STUDIES,34.5948,ARTHI   192D ,UCSB INTERNSHIP,34.0062,INT     594NP,NAT AM & INDIG ST,33.9285,GLOBL   197E ,SPECIAL TOPICS,33.886
319,Student 320,Junior,C LIT   197H ,SENIOR HONORS SEM,33.9186,FR      599  ,DISS PREPARATION,33.8289,PHYS      6AL,INTRO EXPER PHYSICS,32.7769,FAMST   106A ,CREW PRODUCTION ONE,30.8705,PHIL    252G ,PLATO,30.3604
320,Student 321,Sophomore,MUS A   147S ,JAZZ ENSEMBLE,59.4835,PHIL    151  ,PRE-SOCRATICS,56.0389,PHIL    128  ,FEMINIST PHILOSOPHY,55.4432,PHIL    183  ,BEGIN MODERN LOGIC,55.2807,PHIL    156  ,HELLENISTIC PHIL,54.8601
321,Student 322,Graduate,C LIT   197H ,SENIOR HONORS SEM,33.9186,SOC     185M ,MARXIST&CRIT THEORY,33.027,C LIT   197  ,JR/SR SEMINAR,29.8408,MATRL   207  ,MECH OF MATERIALS,29.1889,MATRL   200S ,INTRO STRUC & PHASE,29.1889
322,Student 323,Junior,PSTAT   190  ,ULA TRAINING,39.2279,GREEK   598  ,MA RESEARCH & PREP,38.3745,RENST   199  ,INDEPENDENT STUDIES,34.5948,ARTHI   192D ,UCSB INTERNSHIP,34.0062,C LIT   197H ,SENIOR HONORS SEM,33.9186
323,Student 324,Graduate,FAMST   106A ,CREW PRODUCTION ONE,30.8705,MATRL   205  ,WIDE-BAND GAP MATRL,29.1889,MATRL   200S ,INTRO STRUC & PHASE,29.1889,MATRL   207  ,MECH OF MATERIALS,29.1889,MUS A   270I ,MUS OF INDIA: SITAR,27.8007
324,Student 325,Sophomore,FAMST   250  ,CULTURAL THEORY,60.9228,FR      104C ,ADV FRENCH GRAMMAR,46.0386,AS AM   181  ,DESIGN FOR EQUITY,40.9171,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858
325,Student 326,Junior,ECON    196A ,SEN HONORS SEM,44.8863,PSTAT   223A ,STOCHASTIC CALCULUS,35.7065,CHEM    242A ,CHEM ASPECT BIO SYS,32.0127,ENGL    106CW,CATALYST WRITING,30.7914,ENGL    115  ,MEDIEVAL LITERATURE,29.771
326,Student 327,Senior,GLOBL   199  ,INDEPENDENT STUDIES,42.6578,GREEK   598  ,MA RESEARCH & PREP,38.3745,PHYS    142L ,COND MATTER LAB,36.1337,RENST   199  ,INDEPENDENT STUDIES,34.5948,AS AM   181  ,DESIGN FOR EQUITY,34.5655
327,Student 328,Junior,C LIT   597  ,IND ST MA & PH D,41.5451,CMPSC    24  ,PROBLEM SOLVING II,39.8846,CMPSC   110  ,INTRO RESEARCH CS,39.8846,C LIT   196H ,HONORS RESEARCH,37.229,INT     594NP,NAT AM & INDIG ST,33.9285
328,Student 329,Senior,C LIT   599  ,PH D DIS RE & PREP,66.4858,CMPSC   111  ,INT COMPUTAT SCI,45.8241,IQB     290CE,C. ELEG DEVELOP,42.7616,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC    99  ,INDEPENDENT STUDIES,42.0864
329,Student 330,Junior,PHYS    145L ,EXP RES IN ASTROPHY,51.0255,PHIL    599  ,PH D DISS PREP,49.1309,CMPSC   502  ,TEACHING COMPTR SCI,48.7886,PHYS    228  ,ATOMIC & MOLEC PHYS,48.5904,CMPSC   280  ,COMP GRAPHICS,46.2128
330,Student 331,Freshman,ECE     146A ,DIG COMM FUND,45.7696,MATRL   200S ,INTRO STRUC & PHASE,40.736,MATRL   205  ,WIDE-BAND GAP MATRL,40.736,MATRL   207  ,MECH OF MATERIALS,40.736,FAMST   106A ,CREW PRODUCTION ONE,39.7833
331,Student 332,Freshman,INT      86VC,PORTR & SELF IN AI,47.9311,C LIT   197  ,JR/SR SEMINAR,47.5801,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,C LIT   197H ,SENIOR HONORS SEM,42.2288
332,Student 333,Sophomore,C LIT   599  ,PH D DIS RE & PREP,58.7608,IQB     290CE,C. ELEG DEVELOP,42.7616,PHYS      6AL,INTRO EXPER PHYSICS,39.4821,MUS A    70N ,MIDDLE EAST CHORUS,34.4685,MUS A    38P ,OPERA PRODUCTION,34.2263
333,Student 334,Freshman,MATRL   209A ,CRYSTALOG DIFFR FUN,60.7915,MATRL   205  ,WIDE-BAND GAP MATRL,57.7351,MATRL   200S ,INTRO STRUC & PHASE,57.7351,MATRL   207  ,MECH OF MATERIALS,57.7351,MATRL   215A ,SEMICOND DEVICE,55.097
334,Student 335,Freshman,MATRL   599  ,PH D DISS PREP,47.256,GREEK   598  ,MA RESEARCH & PREP,38.3745,BL ST   199RA,INDEP RESEARCH ASST,37.4729,MATH    202A ,COMPLEX ANALYSIS,35.521,MATH      3B ,CALC WITH APPLI 2,35.521
335,Student 336,Freshman,MATRL   599  ,PH D DISS PREP,47.256,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858,MATH      3B ,CALC WITH APPLI 2,35.521,MATH    202A ,COMPLEX ANALYSIS,35.521
336,Student 337,Sophomore,FAMST   250  ,CULTURAL THEORY,54.4391,FR      104C ,ADV FRENCH GRAMMAR,46.0386,FAMST   106A ,CREW PRODUCTION ONE,39.7833,EACS      5  ,INTRO TO BUDDHISM,39.1042,PHIL    252G ,PLATO,34.9731
337,Student 338,Graduate,C LIT   197  ,JR/SR SEMINAR,44.5232,C LIT   197H ,SENIOR HONORS SEM,41.2213,PORT      4  ,INTERMED PORTUGUESE,41.1088,AS AM   181  ,DESIGN FOR EQUITY,40.9171,ENGL    195I ,INTERN,38.9
338,Student 339,Senior,GREEK   598  ,MA RESEARCH & PREP,38.3745,FR      599  ,DISS PREPARATION,31.9592,MUS     120A ,ORCH CONDUCTING,28.6815,MUS     119A ,MUSIC AND POLITICS,28.6815,SOC     185M ,MARXIST&CRIT THEORY,28.1123
339,Student 340,Graduate,ME      154  ,STRUCTURES,46.0208,MAT     596  ,DIRECTED RESEARCH,43.2842,ME      157  ,INTRO MULTIPHYS SIM,42.6236,EARTH   597  ,INDIV STD MA & PHD,41.7077,EEMB    185  ,OCEANOGRAPHY FLD WK,41.7077
340,Student 341,Sophomore,ECE     146A ,DIG COMM FUND,45.7696,FAMST   106A ,CREW PRODUCTION ONE,40.543,GREEK   598  ,MA RESEARCH & PREP,38.3745,ARTHI     6F ,SUR ARCH & PLAN,37.3858,PHIL    252G ,PLATO,34.9731
341,Student 342,Graduate,MATRL   209A ,CRYSTALOG DIFFR FUN,36.4749,FAMST   106A ,CREW PRODUCTION ONE,36.0866,MATRL   200S ,INTRO STRUC & PHASE,34.6411,MATRL   207  ,MECH OF MATERIALS,34.6411,MATRL   205  ,WIDE-BAND GAP MATRL,34.6411
342,Student 343,Graduate,PHYS      6AL,INTRO EXPER PHYSICS,42.0498,PHYS     13AL,INTRO TO EXPER PHYS,40.933,MUS A   147S ,JAZZ ENSEMBLE,35.6901,PHYS    143L ,PARTICLE PHYS LAB,35.3595,MUS A   249  ,PERCUSSION ENS,34.2094
343,Student 344,Junior,CMPSC   111  ,INT COMPUTAT SCI,45.8241,CMPSC    40  ,FOUNDATION COMP SCI,42.5199,CMPSC   189A ,SR CMPTR PRJCT,42.0864,CMPSC   184  ,MOBILE APP DEV,42.0864,CMPSC   181  ,INTRO COMP VISION,42.0864
